  , trigger                                                                                                                                                                                                                                                                                                                         , replace         , word, propagate_case, trigger=1
0 , "[""abbonnement"",""abbonement"",""abonement""]"                                                                                                                                                                                                                                                                                , abonnement      , True, True          , False
1 , "[""accellerere"",""acelerere""]"                                                                                                                                                                                                                                                                                               , accelerere      , True, True          , False
2 , "[""arangement"",""arrengement"",""arengement""]"                                                                                                                                                                                                                                                                               , arrangement     , True, True          , False
3 , "[""bordou"",""bordeux"",""bordaux""]"                                                                                                                                                                                                                                                                                          , bordeaux        , True, True          , False
4 , "[""buget"",""byget"",""bydget""]"                                                                                                                                                                                                                                                                                              , Budget          , True, True          , False
5 , "[""bulion"",""boulion"",""boullion""]"                                                                                                                                                                                                                                                                                         , bouillon        , True, True          , False
6 , "[""byro"",""buro"",""burau""]"                                                                                                                                                                                                                                                                                                 , bureau          , True, True          , False
7 , "[""chafør"",""chaffør"",""chuaffør""]"                                                                                                                                                                                                                                                                                         , chauffør        , True, True          , False
8 , "[""diskusion"",""diskution""]"                                                                                                                                                                                                                                                                                                 , diskussion      , True, True          , False
9 , "[""hygiegne"",""hygiajne""]"                                                                                                                                                                                                                                                                                                   , hygiejne        , True, True          , False
10, "[""i nu"",""inu""]"                                                                                                                                                                                                                                                                                                            , endnu           , True, True          , False
11, "[""ingenør"",""inginør"",""ingeinør""]"                                                                                                                                                                                                                                                                                        , ingeniør        , True, True          , False
12, "[""interveiw"",""interwiev"",""interweiv""]"                                                                                                                                                                                                                                                                                   , interview       , True, True          , False
13, "[""intiativ"",""initiv""]"                                                                                                                                                                                                                                                                                                     , initiativ       , True, True          , False
14, "[""intrasant"",""interesant"",""intresant"",""intressant""]"                                                                                                                                                                                                                                                                   , interessant     , True, True          , False
15, "[""jfr."",""jvf.""]"                                                                                                                                                                                                                                                                                                           , jf.             , True, True          , False
16, "[""kaptagn"",""kaptegn"",""kaptain""]"                                                                                                                                                                                                                                                                                         , kaptajn         , True, True          , False
17, "[""karusel"",""karussel"",""karrussel""]"                                                                                                                                                                                                                                                                                      , karrusel        , True, True          , False
18, "[""konklution"",""konklussion""]"                                                                                                                                                                                                                                                                                              , konklusion      , True, True          , False
19, "[""nivou"",""nivau"",""nevou"",""nivaue""]"                                                                                                                                                                                                                                                                                    , niveau          , True, True          , False
20, "[""palietter"",""pallietter"",""pailetter""]"                                                                                                                                                                                                                                                                                  , pailletter      , True, True          , False
21, "[""parralel"",""parrallel"",""paralel""]"                                                                                                                                                                                                                                                                                      , parallel        , True, True          , False
22, "[""priotering"",""pritering""]"                                                                                                                                                                                                                                                                                                , prioritering    , True, True          , False
23, "[""proffessionel"",""profesionel"",""professionel""]"                                                                                                                                                                                                                                                                          , professionel    , True, True          , False
24, "[""resource"",""resurce"",""ressourse""]"                                                                                                                                                                                                                                                                                      , ressource       , True, True          , False
25, "[""resuarant"",""resourant"",""restaurent""]"                                                                                                                                                                                                                                                                                  , restaurant      , True, True          , False
26, "[""rutchebane"",""rutshebane"",""rutschebane""]"                                                                                                                                                                                                                                                                               , rutsjebane      , True, True          , False
27, "[""sattelitter"",""sattellitter""]"                                                                                                                                                                                                                                                                                            , satellitter     , True, True          , False
28, "[""sekrætær"",""sekratær""]"                                                                                                                                                                                                                                                                                                   , sekretær        , True, True          , False
29, "[""snaksaglig"",""snaksalig""]"                                                                                                                                                                                                                                                                                                , snakkesalig     , True, True          , False
30, "[""suces"",""success""]"                                                                                                                                                                                                                                                                                                       , succes          , True, True          , False
31, "[""suvenir"",""souvinir""]"                                                                                                                                                                                                                                                                                                    , souvenir        , True, True          , False
32, "[""teknsiske"", ""tenksiske"", ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" , ""teknsiske"" , ""tenksiske"" ]", tekniske        , True, True          , True
33, "[""terasse"",""terresse"",""teresse""]"                                                                                                                                                                                                                                                                                        , terrasse        , True, True          , False
34, "[""yugurt"",""yughurt"",""yougurt"",""youghurt"",""yogurt""]"                                                                                                                                                                                                                                                                  , yoghurt         , True, True          , False
35, addresse                                                                                                                                                                                                                                                                                                                        , adresse         , True, True          , True
36, af vide                                                                                                                                                                                                                                                                                                                         , at vide         , True, True          , True
37, afhængelig                                                                                                                                                                                                                                                                                                                      , afhængig        , True, True          , True
38, afspassere                                                                                                                                                                                                                                                                                                                      , afspadsere      , True, True          , True
39, barbeque                                                                                                                                                                                                                                                                                                                        , barbecue        , True, True          , True
40, bekræftigelse                                                                                                                                                                                                                                                                                                                   , bekræftelse     , True, True          , True
41, brochurre                                                                                                                                                                                                                                                                                                                       , brochure        , True, True          , True
42, diamentral                                                                                                                                                                                                                                                                                                                      , diametral       , True, True          , True
43, diciplin                                                                                                                                                                                                                                                                                                                        , disciplin       , True, True          , True
44, dte                                                                                                                                                                                                                                                                                                                             , det             , True, True          , True
45, dyrelæge                                                                                                                                                                                                                                                                                                                        , dyrlæge         , True, True          , True
46, excl.                                                                                                                                                                                                                                                                                                                           , ekskl.          , True, True          , True
47, financiere                                                                                                                                                                                                                                                                                                                      , finansiere      , True, True          , True
48, forspørgsel                                                                                                                                                                                                                                                                                                                     , forespørgsel    , True, True          , True
49, forsæt                                                                                                                                                                                                                                                                                                                          , fortsæt         , True, True          , True
50, fælleskab                                                                                                                                                                                                                                                                                                                       , fællesskab      , True, True          , True
51, holdte                                                                                                                                                                                                                                                                                                                          , holdt           , True, True          , True
52, hovede                                                                                                                                                                                                                                                                                                                          , hoved           , True, True          , True
53, ialt                                                                                                                                                                                                                                                                                                                            , i alt           , True, True          , True
54, idag                                                                                                                                                                                                                                                                                                                            , i dag           , True, True          , True
55, ihvertfald                                                                                                                                                                                                                                                                                                                      , i hvert fald    , True, True          , True
56, imorgen                                                                                                                                                                                                                                                                                                                         , I morgen        , True, True          , True
57, incl                                                                                                                                                                                                                                                                                                                            , inkl.           , True, True          , True
58, linie                                                                                                                                                                                                                                                                                                                           , linje           , True, True          , True
59, massere                                                                                                                                                                                                                                                                                                                         , masser          , True, True          , True
60, med mindre                                                                                                                                                                                                                                                                                                                      , medmindre       , True, True          , True
61, parantes                                                                                                                                                                                                                                                                                                                        , parentes        , True, True          , True
62, poc                                                                                                                                                                                                                                                                                                                             , Proof of Concept, True, True          , True
63, provensiel                                                                                                                                                                                                                                                                                                                      , provinsiel      , True, True          , True
64, reflektion                                                                                                                                                                                                                                                                                                                      , refleksion      , True, True          , True
65, selvskab                                                                                                                                                                                                                                                                                                                        , selskab         , True, True          , True
66, seperat                                                                                                                                                                                                                                                                                                                         , separat         , True, True          , True
67, sindsygt                                                                                                                                                                                                                                                                                                                        , sindssygt       , True, True          , True
68, sku                                                                                                                                                                                                                                                                                                                             , sgu             , True, True          , True
69, standart                                                                                                                                                                                                                                                                                                                        , standard        , True, True          , True
70, staniol                                                                                                                                                                                                                                                                                                                         , stanniol        , True, True          , True
71, størrere                                                                                                                                                                                                                                                                                                                        , større          , True, True          , True
72, tastetur                                                                                                                                                                                                                                                                                                                        , tastatur        , True, True          , True
73, teknsiske                                                                                                                                                                                                                                                                                                                       , tekniske        , true, true          , true
74, udemærket                                                                                                                                                                                                                                                                                                                       , udmærket        , True, True          , True
75, ynglingsfilm                                                                                                                                                                                                                                                                                                                    , yndlingsfilm    , True, True          , True
76, åp                                                                                                                                                                                                                                                                                                                              , på              , True, True          , True
77, ærgelig                                                                                                                                                                                                                                                                                                                         , ærgerlig        , True, True          , True
